ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Height_clean,Length_clean,Length_missing,Volume_clean,Volume_missing,Volume_log,n_modifications,last_modification_year
SOAD05663,Navaldia,Yes,Recreation,Earth,9.572,0.137,,1909.0,,0.08274,26.6329,,23/03/2021,1.0,,High,Satisfactory,,0.0857,34.3,753.1,7.0,9.572,0.137,0,,1,,0.0,
SOAD05998,Navaldia,No,Water Supply,Earth,6.597,1.517,,1937.0,,0.0985,0.0,,,,,Low,Not Rated,18/06/2014,0.0917,32.0,20.1,33.2,6.597,1.517,0,,1,,0.0,
SOAD06131,Lyndrassia,Yes,Irrigation,Earth,3.556,0.133,,1961.0,,,,,,,56.33,Low,,,0.0968,20.2,154.7,6.2,3.556,0.133,0,,1,,0.0,
SOAD06683,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.745,0.158,,1966.0,,0.11229,0.0,,,,,Low,Not Rated,18/06/2014,0.0719,6.7,6.0,,4.745,0.158,0,,1,,0.0,
SOAD06710,Lyndrassia,No,Flood Risk Reduction,Earth,11.557,0.163,18746.0,2004.0,,0.04137,6237.42518,Uncontrolled,28/04/2005,0.0,,Low,Not Rated,,0.0951,17.5,18.0,,11.557,0.163,0,18746.0,0,9.838789018597192,0.0,
SOAD06842,Lyndrassia,Yes,Recreation,Earth,14.013,0.167,75000.0,1966.0,,0.08471,2.66329,Uncontrolled,01/02/2022,5.0,13.29,Low,Not Rated,19/12/2007,0.0924,16.8,118.5,8.1,14.013,0.167,0,75000.0,0,11.225256725762893,0.0,
SOAD07888,Lyndrassia,No,Irrigation,Earth,10.064,,0.0,1972.0,,0.07683,687.12882,,,0.0,10.02,Low,Not Rated,,0.0894,11.0,407.3,7.0,10.064,,1,,1,,0.0,
SOAD08228,Navaldia,No,Recreation,Earth,8.577,0.287,,1965.0,,0.10835,0.0,,,,,Low,Not Rated,18/06/2014,0.0956,17.2,5.6,7.7,8.577,0.287,0,,1,,0.0,
SOAD08828,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.316,0.067,,1946.0,,,,,,,151.39,Low,,,0.0941,10.7,73.9,,10.316,0.067,0,,1,,0.0,
SOAD08884,Lyndrassia,No,Irrigation,Earth,7.049,,0.0,1977.0,,0.11032,298.28848,,,0.0,23.17,High,Not Rated,,0.1014,27.2,200.4,25.6,7.049,,1,,1,,0.0,
SOAD09306,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.175,0.312,,1965.0,,0.09653,0.0,,,,29.75,Low,Not Rated,18/06/2014,0.1234,33.3,337.1,,7.175,0.312,0,,1,,0.0,
SOAD10024,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.553,0.227,26564.0,1978.0,,0.00788,189.09359,Uncontrolled,,0.0,,Low,Not Rated,,0.1226,21.1,23.4,,9.553,0.227,0,26564.0,0,10.187349838885044,0.0,
SOAD10068,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.996,0.108,,1955.0,,,,,,,95.22,Low,,,0.1081,18.5,70.2,,4.996,0.108,0,,1,,0.0,
SOAD10651,Flumevale,Yes,Flood Risk Reduction,Earth,19.221,0.177,,1967.0,,0.06895,0.0,,19/09/2016,3.0,66.1,Low,Not Rated,,0.0848,19.2,74.9,,19.221,0.177,0,,1,,0.0,
SOAD10713,Navaldia,Yes,Other,Earth,6.134,0.433,,1965.0,2001H,0.14184,0.0,,26/04/2023,5.0,,High,Satisfactory,17/08/2023,0.0751,17.2,652.9,,6.134,0.433,0,,1,,1.0,2001.0
SOAD10765,Navaldia,No,Water Supply,Earth,6.395,0.242,,1967.0,,0.09653,18.64303,,19/02/2009,,16.65,Low,Not Rated,18/06/2014,0.1181,28.0,414.5,30.5,6.395,0.242,0,,1,,0.0,
SOAD11515,Navaldia,No,Recreation,Earth,9.092,0.18,,1971.0,,0.08077,2.66329,,07/05/2014,5.0,,Significant,Not Rated,07/05/2019,0.1107,5.8,235.6,7.0,9.092,0.18,0,,1,,0.0,
SOAD11951,Navaldia,Yes,Recreation,Earth,7.305,0.073,,1938.0,,0.06698,50.60251,,26/03/2021,1.0,,High,Fair,,0.122,8.2,630.4,8.0,7.305,0.073,0,,1,,0.0,
SOAD12539,Lyndrassia,No,Flood Risk Reduction,Earth,11.171,0.15,23025.0,1995.0,,0.06107,2263.7965,Uncontrolled,,0.0,,Low,Not Rated,,0.1278,22.7,15.5,,11.171,0.15,0,23025.0,0,10.044379291233609,0.0,
SOAD12944,Navaldia,Yes,Flood Risk Reduction,Earth,13.971,0.338,54160.0,1962.0,,0.05319,2.66329,Uncontrolled,29/06/2000,,25.15,Low,Not Rated,18/06/2014,0.0771,45.2,194.8,,13.971,0.338,0,54160.0,0,10.899716371226633,0.0,
SOAD14637,Flumevale,Yes,Water Supply,Earth,11.29,0.212,28000.0,1955.0,,0.11623,2.66329,,02/08/2022,1.0,,Significant,Satisfactory,01/09/2017,0.118,8.6,174.6,22.4,11.29,0.212,0,28000.0,0,10.239995502805316,0.0,
SOAD14938,Lyndrassia,No,Flood Risk Reduction,Earth,10.381,0.16,20378.0,1994.0,,0.0591,1539.38162,Uncontrolled,11/09/1999,1.0,,Low,Not Rated,,0.0838,41.1,20.1,,10.381,0.16,0,20378.0,0,9.922260237859412,0.0,
SOAD15632,Lyndrassia,Yes,Irrigation,Earth,7.797,0.081,,1959.0,2011,,31.95948,Uncontrolled,07/04/2022,5.0,3.12,High,Satisfactory,31/12/2020,0.0615,826.3,888.9,45.2,7.797,0.081,0,,1,,1.0,2011.0
SOAD15894,Lyndrassia,Yes,Irrigation,Earth,2.919,0.113,0.0,1927.0,,0.17336,,,,0.0,26.07,Low,,,0.1076,31.0,385.2,45.9,2.919,0.113,0,,1,,0.0,
SOAD15965,Lyndrassia,No,Irrigation,Earth,3.097,0.133,0.0,1958.0,,0.0,0.0,,,0.0,59.08,Low,Not Available,,0.0794,40.0,131.5,39.0,3.097,0.133,0,,1,,0.0,
SOAD17015,Lyndrassia,No,Recreation,Earth,7.185,,0.0,1952.0,,0.10835,1342.29816,,,0.0,0.0,Low,Not Rated,,0.056,22.1,528.4,8.7,7.185,,1,,1,,0.0,
SOAD17033,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.365,0.145,,1955.0,,,,,,,47.55,Low,,,0.0983,9.0,71.6,,7.365,0.145,0,,1,,0.0,
SOAD18140,Flumevale,Yes,Irrigation,Earth,8.323,0.082,12412.0,1930.0,,0.11032,362.20744,Uncontrolled,17/05/2011,6.0,9.56,Low,Not Rated,,0.0671,26.8,380.4,33.3,8.323,0.082,0,12412.0,0,9.426499589515949,0.0,
SOAD18592,Navaldia,No,Recreation,Earth,6.177,0.2,,1947.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0776,28.3,16.2,3.1,6.177,0.2,0,,1,,0.0,
SOAD18991,Flumevale,Yes,Flood Risk Reduction,Earth,10.93,0.208,30174.0,1970.0,,0.09456,7.98987,Uncontrolled,01/06/2016,3.0,40.29,Low,Fair,12/05/2020,0.0958,27.9,219.9,,10.93,0.208,0,30174.0,0,10.314769045965733,0.0,
SOAD19100,Navaldia,No,Recreation,Earth,9.219,0.187,,1956.0,,0.06895,0.0,,02/04/1976,,9.94,Low,Not Rated,18/06/2014,0.0724,29.0,171.9,6.7,9.219,0.187,0,,1,,0.0,
SOAD19571,Flumevale,Yes,Irrigation,Earth,4.388,0.12,0.0,1895.0,,0.08471,0.0,,24/09/1984,6.0,39.18,Low,Not Rated,,0.0953,45.5,192.6,35.9,4.388,0.12,0,,1,,0.0,
SOAD19631,Navaldia,No,Unknow,Earth,7.001,0.217,,1996.0,,0.03743,0.0,Uncontrolled,,,,Low,Not Rated,18/06/2014,0.0915,43.5,17.8,,7.001,0.217,0,,1,,0.0,
SOAD20190,Lyndrassia,No,Recreation,Earth,9.056,,0.0,1945.0,,0.08077,490.04536,,,0.0,4.86,High,Not Rated,,0.1338,42.4,323.6,9.2,9.056,,1,,1,,0.0,
SOAD20215,Lyndrassia,No,Recreation,Earth,11.045,,0.0,1969.0,,0.06698,237.03281,,,0.0,32.92,High,Not Rated,,0.1181,39.2,175.0,6.7,11.045,,1,,1,,0.0,
SOAD20767,Lyndrassia,Yes,Fish and Wildlife Pond,Earth,4.348,0.05,0.0,1938.0,2012,0.15169,18.64303,Uncontrolled,04/08/2022,5.0,,High,Satisfactory,21/11/2017,0.0698,45.3,917.9,,4.348,0.05,0,,1,,1.0,2012.0
SOAD01485,Lyndrassia,No,Recreation,Earth,9.532,,0.0,1971.0,,0.07486,719.0883,,18/05/1979,0.0,26.36,High,Not Rated,,0.1571,9.0,445.9,8.2,9.532,,1,,1,,0.0,
SOAD01850,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.598,0.175,10915.0,1973.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1097,16.2,18.5,,7.598,0.175,0,10915.0,0,9.29798488182823,0.0,
SOAD04468,Navaldia,No,Irrigation,Earth,6.359,0.182,,1947.0,,0.12214,0.0,,,,,Low,Not Rated,18/06/2014,0.1204,41.1,21.4,14.1,6.359,0.182,0,,1,,0.0,
SOAD04496,Flumevale,Yes,Water Supply,Earth,9.421,0.137,20300.0,1979.0,,0.07683,5.32658,,16/03/2022,1.0,0.8,High,Satisfactory,01/09/2017,0.0932,26.5,660.1,15.1,9.421,0.137,0,20300.0,0,9.918425424900335,0.0,
SOAD05079,Lyndrassia,No,Recreation,Earth,10.183,,0.0,1973.0,,0.0788,431.45298,,,0.0,13.19,Low,Not Rated,,0.1173,36.9,213.9,7.9,10.183,,1,,1,,0.0,
SOAD05244,Navaldia,Yes,Recreation,Earth,8.632,0.14,7750.0,1949.0,,0.0985,2.66329,,23/05/1984,,,Low,Not Rated,18/06/2014,0.0737,10.7,8.3,4.4,8.632,0.14,0,7750.0,0,8.955577146281511,0.0,
SOAD07674,Lyndrassia,No,Grade Stabilization,Earth,10.028,0.157,18090.0,1965.0,,0.0591,404.82008,Uncontrolled,,0.0,,Low,Not Rated,,0.0914,15.6,7.0,,10.028,0.157,0,18090.0,0,9.803169856021261,0.0,
SOAD07916,Navaldia,No,Water Supply,Earth,9.608,0.25,,1967.0,,0.08274,0.0,,,,,Low,Not Rated,18/06/2014,0.1063,36.2,5.7,21.1,9.608,0.25,0,,1,,0.0,
SOAD08438,Flumevale,Yes,Irrigation,Earth,6.805,0.133,,1952.0,,0.06501,42.61264,Uncontrolled,22/08/2019,6.0,11.41,Low,Not Rated,,0.0437,11.8,383.2,31.1,6.805,0.133,0,,1,,0.0,
SOAD09795,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.456,0.225,,1955.0,,,,,,,36.7,Low,,,0.0778,11.5,92.7,,5.456,0.225,0,,1,,0.0,
SOAD09925,Lyndrassia,No,Flood Risk Reduction,Earth,8.727,0.203,21910.0,2004.0,,0.05122,1496.76898,Uncontrolled,01/11/2004,1.0,,Low,Not Rated,,0.109,16.1,5.2,,8.727,0.203,0,21910.0,0,9.99474407280768,0.0,
SOAD10464,Lyndrassia,No,Other,Earth,8.597,,0.0,,,0.08668,434.11627,,,0.0,0.0,Low,Not Rated,,0.0925,19.8,436.5,,8.597,,1,,1,,0.0,
SOAD10521,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.533,,0.0,1954.0,,0.08274,3254.54038,,,0.0,25.25,High,Not Rated,,0.1164,35.2,279.6,,8.533,,1,,1,,0.0,
SOAD11837,Navaldia,No,Water Supply,Earth,6.043,0.283,,1969.0,,0.10244,0.0,,,,,Low,Not Rated,18/06/2014,0.1047,20.6,8.0,57.5,6.043,0.283,0,,1,,0.0,
SOAD12186,Lyndrassia,No,Flood Risk Reduction,Earth,9.964,0.207,27950.0,1990.0,,0.03349,1289.03236,Uncontrolled,20/05/1991,0.0,,Low,Not Rated,,0.0742,28.6,5.6,,9.964,0.207,0,27950.0,0,10.238208256118535,0.0,
SOAD12497,Lyndrassia,No,Recreation,Earth,8.517,,0.0,1962.0,,0.08077,921.49834,,,0.0,21.8,Low,Not Rated,,0.1033,9.1,167.6,6.8,8.517,,1,,1,,0.0,
SOAD13048,Navaldia,No,Irrigation,Earth,3.372,1.567,72415.0,1975.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1283,39.3,17.7,42.3,3.372,1.567,0,72415.0,0,11.190182548433263,0.0,
SOAD13217,Flumevale,Yes,Water Supply,Earth,34.196,0.165,125000.0,2001.0,,0.05319,0.0,,06/01/2022,1.0,1.59,High,Satisfactory,01/09/2017,0.1144,20.6,166.0,18.9,34.196,0.165,0,125000.0,0,11.736077016252437,0.0,
SOAD14347,Navaldia,No,Unknow,Earth,6.082,0.295,,1963.0,,0.0,0.0,,29/03/1990,,,Low,Not Rated,18/06/2014,0.0692,32.6,15.4,,6.082,0.295,0,,1,,0.0,
SOAD14475,Lyndrassia,No,Recreation,Earth,9.835,,0.0,1974.0,,0.07683,1139.88812,,,0.0,0.0,High,Not Rated,,0.1325,35.9,221.1,4.5,9.835,,1,,1,,0.0,
SOAD14543,Navaldia,No,Recreation,Earth,7.118,0.2,,1949.0,,0.10244,0.0,,,,,Low,Not Rated,18/06/2014,0.0887,13.8,8.5,7.1,7.118,0.2,0,,1,,0.0,
SOAD14706,Lyndrassia,Yes,Irrigation,Earth,10.758,0.243,,1961.0,2020,,7.98987,Uncontrolled,16/10/2020,5.0,36.81,High,Satisfactory,23/02/2021,0.0805,899.0,122.7,39.7,10.758,0.243,0,,1,,1.0,2020.0
SOAD16056,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.895,0.215,,1944.0,,0.12214,0.0,Uncontrolled,06/11/2018,6.0,43.19,Low,Unsatisfactory,24/06/2021,0.096,31.2,66.9,,6.895,0.215,0,,1,,0.0,
SOAD16666,Lyndrassia,No,Recreation,Earth,7.252,,0.0,1894.0,,0.10441,913.50847,,12/06/1979,0.0,1.63,High,Not Rated,,0.0848,23.2,244.1,6.5,7.252,,1,,1,,0.0,
SOAD16994,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.568,0.2,,1966.0,,,79.89869999999999,Uncontrolled,,,23.43,Low,,,0.0718,8.2,228.6,,8.568,0.2,0,,1,,0.0,
SOAD18016,Navaldia,Yes,Recreation,Earth,4.688,0.133,,1958.0,,0.0985,0.0,,,,,Low,Not Rated,18/06/2014,0.0772,45.2,11.1,2.9,4.688,0.133,0,,1,,0.0,
SOAD19580,Lyndrassia,Yes,Recreation,Earth,13.646,0.133,35000.0,1977.0,1990,0.06501,0.0,Uncontrolled,10/12/2020,3.0,10.83,High,Satisfactory,19/03/2009,0.1005,37.2,381.3,7.4,13.646,0.133,0,35000.0,0,10.463131911491967,1.0,1990.0
SOAD19662,Lyndrassia,No,Fish and Wildlife Pond,Earth,11.803,0.27,44928.0,1974.0,,0.03349,822.95661,Uncontrolled,,0.0,,Significant,Not Rated,,0.1421,13.7,57.7,,11.803,0.27,0,44928.0,0,10.712838744972538,0.0,
SOAD19700,Lyndrassia,Yes,Irrigation,Earth,6.791,0.067,,1956.0,,,13.31645,,,,11.79,Low,,,0.0771,11.2,423.7,39.0,6.791,0.067,0,,1,,0.0,
SOAD20400,Lyndrassia,No,Flood Risk Reduction,Earth,9.076,,0.0,1964.0,,0.08668,1107.92864,,,0.0,8.4,Low,Not Rated,,0.0534,39.5,406.9,,9.076,,1,,1,,0.0,
SOAD20489,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.867,,0.0,1969.0,,0.08077,601.90354,,,0.0,1.53,Low,Not Rated,,0.0786,34.6,753.1,,8.867,,1,,1,,0.0,
SOAD00901,Navaldia,Yes,Water Supply,Earth,12.056,0.178,,1964.0,,0.07289,0.0,,,,9.7,High,Not Rated,18/06/2014,0.1271,37.6,213.4,23.2,12.056,0.178,0,,1,,0.0,
SOAD01184,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.491,0.237,,1900.0,1929H,0.19897,2.66329,Uncontrolled,21/09/2022,5.0,0.84,High,Fair,16/02/2023,0.072,23.7,801.9,,5.491,0.237,0,,1,,1.0,1929.0
SOAD02221,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.406,,0.0,1964.0,,0.08274,996.07046,,,0.0,13.32,Low,Not Rated,,0.0972,35.5,165.2,,8.406,,1,,1,,0.0,
SOAD02480,Lyndrassia,No,Recreation,Earth,10.044,,0.0,1965.0,,0.07486,1230.43998,,07/09/1978,0.0,10.09,High,Not Rated,,0.0977,21.4,142.9,3.2,10.044,,1,,1,,0.0,
SOAD02663,Lyndrassia,No,Fish and Wildlife Pond,Earth,7.798,0.227,22437.0,1975.0,,0.03349,332.91125,Uncontrolled,,0.0,,Low,Not Rated,,0.0877,13.8,5.6,,7.798,0.227,0,22437.0,0,10.01851122910491,0.0,
SOAD03076,Navaldia,No,Unknow,Earth,7.622,0.183,,1966.0,,0.11623,0.0,,,,,Low,Not Rated,18/06/2014,0.128,31.9,22.7,,7.622,0.183,0,,1,,0.0,
SOAD03240,Navaldia,No,Water Supply,Earth,6.818,0.225,,1958.0,,0.10441,0.0,,,,,Low,Not Rated,18/06/2014,0.0854,46.7,10.6,39.4,6.818,0.225,0,,1,,0.0,
SOAD03332,Lyndrassia,No,Flood Risk Reduction,Earth,10.426,0.188,22800.0,1992.0,,0.04137,1243.75643,Uncontrolled,01/11/2000,1.0,,Low,Not Rated,,0.0635,18.1,22.3,,10.426,0.188,0,22800.0,0,10.034559673629849,0.0,
SOAD03798,Lyndrassia,Yes,Debris Control,Earth,14.454,0.167,25000.0,1964.0,,0.06895,2.66329,Uncontrolled,02/11/2022,5.0,33.66,Low,Satisfactory,24/07/2015,0.0609,24.6,99.7,,14.454,0.167,0,25000.0,0,10.12667110305036,0.0,
SOAD04960,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.773,0.1,,1955.0,,,,,,,0.0,Low,,,0.0906,17.6,874.6,,5.773,0.1,0,,1,,0.0,
SOAD07212,Flumevale,Yes,Recreation,Earth,7.221,0.07,200.0,1957.0,,0.06895,801.6502899999999,Uncontrolled,27/09/2013,6.0,14.95,Low,Not Rated,,0.0672,28.0,440.3,3.1,7.221,0.07,0,200.0,0,5.303304908059076,0.0,
SOAD08359,Flumevale,Yes,Other,Earth,12.629,0.167,30700.0,1951.0,,0.0788,90.55186,,18/08/2023,0.5,,Low,Fair,01/09/2017,0.0863,41.0,22.4,,12.629,0.167,0,30700.0,0,10.332050506334692,0.0,
SOAD08440,Lyndrassia,No,Grade Stabilization,Earth,9.267,0.127,14604.0,1971.0,,0.01773,3539.51241,Uncontrolled,,0.0,,Low,Not Rated,,0.0794,37.5,14.2,,9.267,0.127,0,14604.0,0,9.58911921482184,0.0,
SOAD08800,Navaldia,No,Recreation,Earth,9.141,0.161,20660.0,1966.0,,0.0,0.0,,16/07/1966,,,Low,Not Rated,18/06/2014,0.1282,7.3,21.3,5.6,9.141,0.161,0,20660.0,0,9.936003144212808,0.0,
SOAD09088,Navaldia,No,Recreation,Earth,7.065,0.205,,1961.0,,0.10244,0.0,,,,,Low,Not Rated,18/06/2014,0.0912,47.6,22.9,3.0,7.065,0.205,0,,1,,0.0,
SOAD09962,Navaldia,No,Recreation,Earth,6.426,0.167,,1950.0,,0.09653,0.0,,06/05/1997,,,Low,Not Rated,18/06/2014,0.0894,37.1,11.0,4.4,6.426,0.167,0,,1,,0.0,
SOAD10130,Lyndrassia,No,Recreation,Earth,11.687,,0.0,1970.0,,0.06501,724.41488,,,0.0,3.35,Low,Not Rated,,0.1307,41.9,455.0,5.5,11.687,,1,,1,,0.0,
SOAD10603,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.833,0.013,,1960.0,,,,,,,0.0,Low,,,0.1234,17.2,712.9,,2.833,0.013,0,,1,,0.0,
SOAD10806,Navaldia,No,Water Supply,Earth,5.024,0.157,,1969.0,,0.11426,0.0,,,,,Low,Not Rated,18/06/2014,0.0694,41.5,10.5,12.2,5.024,0.157,0,,1,,0.0,
SOAD11032,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.375,0.217,,1966.0,,0.10638,0.0,,,,,Low,Not Rated,18/06/2014,0.0861,9.6,19.2,,5.375,0.217,0,,1,,0.0,
SOAD13127,Navaldia,No,Recreation,Earth,6.777,0.183,,1949.0,,0.10638,0.0,,,,,Low,Not Rated,18/06/2014,0.0618,42.4,14.8,8.4,6.777,0.183,0,,1,,0.0,
SOAD13356,Navaldia,No,Recreation,Earth,6.455,0.325,,1965.0,,0.14578,0.0,,,,,Low,Not Rated,18/06/2014,0.0668,13.4,7.1,3.1,6.455,0.325,0,,1,,0.0,
SOAD14114,Navaldia,No,Other,Earth,9.696,0.16,,1992.0,,0.07683,1203.80708,,,,,Low,Not Rated,18/06/2014,0.1085,8.1,10.4,,9.696,0.16,0,,1,,0.0,
SOAD14149,Flumevale,Yes,Irrigation,Earth,15.999,0.367,74570.0,1962.0,,0.0591,0.0,Uncontrolled,07/10/2020,6.0,6.65,Low,Satisfactory,03/06/2016,0.0304,38.6,194.1,33.2,15.999,0.367,0,74570.0,0,11.219506970666512,0.0,
SOAD15835,Lyndrassia,No,Fish and Wildlife Pond,Earth,10.589,0.158,0.0,1976.0,,0.00788,266.329,Uncontrolled,,0.0,,Low,Not Rated,,0.1155,40.6,20.8,,10.589,0.158,0,,1,,0.0,
SOAD16244,Lyndrassia,No,Flood Risk Reduction,Earth,10.186,0.136,16979.0,1990.0,,0.06895,2069.37633,Uncontrolled,11/09/1999,1.0,,Low,Not Rated,,0.0834,11.8,8.5,,10.186,0.136,0,16979.0,0,9.739791459865339,0.0,
SOAD17011,Navaldia,No,Recreation,Earth,6.889,0.183,,1966.0,,0.08668,0.0,,,,,Low,Not Rated,18/06/2014,0.1174,41.4,20.2,8.3,6.889,0.183,0,,1,,0.0,
SOAD17329,Lyndrassia,No,Grade Stabilization,Earth,11.983,0.208,26291.0,1970.0,,0.13593,1693.85244,Uncontrolled,,0.0,,Low,Not Rated,,0.0844,34.3,19.9,,11.983,0.208,0,26291.0,0,10.177019989383467,0.0,
SOAD17982,Navaldia,No,Water Supply,Earth,4.794,0.267,,1968.0,,0.13002,0.0,,,,,Low,Not Rated,18/06/2014,0.0973,27.1,14.3,13.5,4.794,0.267,0,,1,,0.0,
SOAD18040,Navaldia,Yes,Flood Risk Reduction,Earth,19.659,0.221,,1977.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.0911,40.4,9.2,,19.659,0.221,0,,1,,0.0,
SOAD18431,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.172,0.1,,1960.0,,,,,,,46.74,Low,,,0.0731,12.8,91.0,,5.172,0.1,0,,1,,0.0,
SOAD00594,Lyndrassia,No,Grade Stabilization,Earth,9.337,0.2,18039.0,1975.0,,0.13593,2468.86983,Uncontrolled,,0.0,,Low,Not Rated,,0.0939,13.1,13.6,,9.337,0.2,0,18039.0,0,9.800346793616615,0.0,
SOAD00621,Navaldia,No,Irrigation,Earth,10.293,0.225,,1974.0,,0.0,0.0,,06/04/1982,,,Low,Not Rated,18/06/2014,0.1242,17.0,4.9,10.1,10.293,0.225,0,,1,,0.0,
SOAD01252,Flumevale,Yes,Flood Risk Reduction,Earth,24.858,0.148,,1961.0,,0.06698,0.0,Uncontrolled,24/10/2022,3.0,0.0,High,Fair,24/10/2022,0.1053,26.5,551.6,,24.858,0.148,0,,1,,0.0,
SOAD01543,Navaldia,Yes,Recreation,Earth,6.095,0.273,,1906.0,,0.1379,0.0,,05/06/1985,,,Low,Not Rated,18/06/2014,0.0785,27.6,22.9,7.1,6.095,0.273,0,,1,,0.0,
SOAD02502,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.041,0.202,16088.0,1975.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1072,39.4,7.7,,9.041,0.202,0,16088.0,0,9.685891087651035,0.0,
SOAD03005,Lyndrassia,Yes,Recreation,Earth,13.857,0.19,40000.0,1955.0,1999,0.0591,0.0,Uncontrolled,14/10/2021,1.0,0.0,High,Satisfactory,19/12/2007,0.0954,38.7,587.7,5.0,13.857,0.19,0,40000.0,0,10.596659732783579,1.0,1999.0
SOAD03352,Lyndrassia,No,Recreation,Earth,8.671,,0.0,,,0.08668,1267.72604,,,0.0,0.0,Low,Not Rated,,0.0603,29.7,921.2,6.0,8.671,,1,,1,,0.0,
SOAD03413,Lyndrassia,No,Recreation,Earth,11.347,,0.0,1957.0,,0.06501,777.6806799999999,,,0.0,9.33,Low,Not Rated,,0.1056,38.3,423.8,8.4,11.347,,1,,1,,0.0,
SOAD04297,Flumevale,Yes,Water Supply,Earth,10.993,0.783,80000.0,1991.0,,0.06698,0.0,,23/09/2021,1.0,1.13,High,Satisfactory,01/09/2017,0.1081,13.0,825.5,14.0,10.993,0.783,0,80000.0,0,11.289794413577894,0.0,
SOAD05884,Lyndrassia,No,Other,Earth,9.615,,0.0,1975.0,,0.08274,1667.21954,,,0.0,4.76,High,Not Rated,,0.1174,6.9,801.0,,9.615,,1,,1,,0.0,
SOAD06534,Lyndrassia,Yes,Irrigation,Earth,5.385,0.15,,1960.0,,,,,,,88.69,Low,,,0.0927,21.4,106.7,29.9,5.385,0.15,0,,1,,0.0,
SOAD06607,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.033,0.042,,1957.0,,,,,,,31.92,Low,,,0.1081,6.2,217.6,,4.033,0.042,0,,1,,0.0,
SOAD07897,Navaldia,No,Water Supply,Earth,5.46,0.228,,1957.0,,0.12411,0.0,,,,,Low,Not Rated,18/06/2014,0.0997,15.4,22.7,67.7,5.46,0.228,0,,1,,0.0,
SOAD08924,Flumevale,Yes,Fish and Wildlife Pond,Earth,6.162,1.092,68240.0,,1977,0.11426,0.0,,15/10/2019,6.0,1.56,Low,Fair,23/07/2019,0.0579,34.6,521.1,,6.162,1.092,0,68240.0,0,11.130800836219972,1.0,1977.0
SOAD10704,Lyndrassia,No,Debris Control,Earth,6.705,,0.0,1957.0,,0.10441,514.01497,,,0.0,45.71,High,Not Rated,,0.1402,22.3,115.3,,6.705,,1,,1,,0.0,
SOAD13159,Lyndrassia,No,Fish and Wildlife Pond,Earth,6.85,0.2,20000.0,1958.0,,0.04925,2476.8597,Uncontrolled,,0.0,,Significant,Not Rated,,0.1588,42.4,211.6,,6.85,0.2,0,20000.0,0,9.90353755128617,0.0,
SOAD13389,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.146,0.05,,1950.0,,,5.32658,,,,121.16,Low,,,0.113,10.5,111.5,,4.146,0.05,0,,1,,0.0,
SOAD13767,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.437,0.247,,1965.0,,0.0886499999999999,0.0,Uncontrolled,30/05/2023,5.0,,Significant,Not Rated,18/10/2022,0.1033,5.3,120.1,,6.437,0.247,0,,1,,0.0,
SOAD14634,Lyndrassia,No,Recreation,Earth,8.817,,0.0,1977.0,,0.08471,3915.0363,,,0.0,6.26,High,Not Rated,,0.1011,17.7,331.4,3.2,8.817,,1,,1,,0.0,
